Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Time_period
11:00:00,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Rollover,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury,11,Morning
11:00:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,11,Morning
18:10:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Unknown,Owner,Unknown,No defect,Recreational areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Serious Injury,18,Evening
18:10:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,No distancing,Serious Injury,18,Evening
15:25:00,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
15:25:00,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,15,Afternoon
19:00:00,Thursday,Over 51,Male,Above high school,Owner,5-10yr,Automobile,Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,Under 18,3,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,19,Evening
19:00:00,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,19,Evening
8:21:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury,8,Morning
8:21:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury,8,Morning
8:30:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,8,Morning
8:30:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unknown,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Employee,Normal,Crossing from driver's nearside,No distancing,Slight Injury,8,Morning
18:21:00,Sunday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,1-2yr,5,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,18,Evening
18:21:00,Sunday,Over 51,Male,High school,Owner,2-5yr,Public (13?45 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,18,Evening
18:40:00,Saturday,31-50,Male,Unknown,Employee,Unknown,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
18:40:00,Saturday,18-30,Male,Junior high school,Owner,1-2yr,Unknown,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
4:02:00,Sunday,Unknown,Male,Junior high school,Unknown,Below 1yr,Long lorry,Owner,1-2yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,4,Night
4:02:00,Sunday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect,Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Stopping,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,4,Night
4:02:00,Sunday,Unknown,Male,Above high school,Employee,1-2yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury,4,Night
4:02:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,4,Night
12:47:00,Saturday,31-50,Male,High school,Employee,1-2yr,Public (12 seats),Owner,1-2yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury,12,Afternoon
9:20:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,7,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury,9,Morning
14:23:00,Sunday,18-30,Male,Above high school,Other,2-5yr,Taxi,Owner,Unknown,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,14,Afternoon
14:23:00,Sunday,Unknown,Male,High school,Employee,Above 10yr,Unknown,Owner,1-2yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,14,Afternoon
14:32:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,14,Afternoon
14:32:00,Monday,31-50,Male,High school,Employee,1-2yr,Unknown,Governmental,Below 1yr,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,14,Afternoon
14:32:00,Monday,Over 51,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Outside rural areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,4,U-Turn,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,14,Afternoon
14:32:00,Monday,Over 51,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,School areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,14,Afternoon
8:40:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury,8,Morning
8:40:00,Wednesday,Unknown,Male,Above high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,8,Morning
18:33:00,Tuesday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Escarpments,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Stopping,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
18:33:00,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
10:50:00,Thursday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,10,Morning
10:50:00,Thursday,Unknown,Male,Junior high school,Employee,Unknown,Taxi,Owner,2-5yrs,No defect,Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,10,Morning
17:25:00,Wednesday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Under 18,3,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury,17,Evening
17:25:00,Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,2-5yrs,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
9:20:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,9,Morning
9:20:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,9,Morning
11:00:00,Wednesday,31-50,Male,High school,Employee,2-5yr,Unknown,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,11,Morning
11:00:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,Under 18,3,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,11,Morning
11:35:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,11,Morning
11:35:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,na,na,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury,11,Morning
12:30:00,Tuesday,31-50,Male,Illiterate,Employee,unknown,Lorry (11?40Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Unknown,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,12,Afternoon
12:30:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Unknown,Pedestrian,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury,12,Afternoon
18:35:00,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Ridden horse,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
18:35:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,18,Evening
16:30:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,Unknown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,16,Afternoon
16:30:00,Saturday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,2,Unknown,Unknown,Unknown or other,Driving carelessly,Slight Injury,16,Afternoon
21:25:00,Saturday,31-50,Male,High school,Employee,1-2yr,Other,Owner,Below 1yr,Unknown,Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,21,Night
21:25:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury,21,Night
21:20:00,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,Slight Injury,21,Night
8:43:00,Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Female,Over 51,3,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury,8,Morning
16:49:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Office areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Male,Over 51,3,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury,16,Afternoon
16:49:00,Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Unknown,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury,16,Afternoon
15:30:00,Thursday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,2,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
15:30:00,Thursday,18-30,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,15,Afternoon
18:57:00,Thursday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Below 1yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,1,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
18:57:00,Thursday,18-30,Unknown,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,Unknown,Other,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
17:00:00,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury,17,Evening
17:00:00,Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Unknown,Governmental,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury,17,Evening
16:50:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,16,Afternoon
16:50:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,16,Afternoon
8:03:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,1,Unknown,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,8,Morning
8:03:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Unknown,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,8,Morning
16:40:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Unknown,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,16,Afternoon
16:40:00,Monday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Driving carelessly,Slight Injury,16,Afternoon
7:40:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury,7,Morning
7:40:00,Monday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury,7,Morning
4:46:00,Tuesday,Under 18,Male,Unknown,Owner,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,4,Night
4:46:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,4,Night
14:19:00,Tuesday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,Over 51,3,Driver,Normal,Unknown or other,Driving to the left,Slight Injury,14,Afternoon
14:19:00,Tuesday,31-50,Male,Above high school,Employee,5-10yr,Bajaj,Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,14,Afternoon
18:15:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Overtaking,Slight Injury,18,Evening
18:15:00,Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,18-30,1,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,18,Evening
